source,name,price,revenue,profit,description,url,category
QuietLight,Gaming Furniture Business | 56% YoY Growth | 10 Hrs/Week Operation | Multi-Country Revenue,"$925,000","$925,000","$276,460","Gaming Furniture Business | 56% YoY Growth | 10 Hrs/Week Operation | Multi-Country Revenue $925,000 Revenue: $799,002 Income: $276,460 Amazon FBA",https://quietlight.com/listings/13369216/,Amazon FBA
QuietLight,SBA Pre-Qualified Amazon FBA Health Supplement Company | 15K+ Amazon Subscribers | US Manufacturing,"$4,726,088","$4,726,088","$1,125,198","SBA Pre-Qualified Amazon FBA Health Supplement Company | 15K+ Amazon Subscribers | US Manufacturing $4,000,000 Revenue: $4,726,088 Income: $1,125,198 Amazon FBA",https://quietlight.com/listings/13938228/,Amazon FBA
QuietLight,Stable Amazon FBA Business in Seniors Niche | 85% Gross Profit Margin | Simple Operations,"$174,526","$174,526","$52,032","Stable Amazon FBA Business in Seniors Niche | 85% Gross Profit Margin | Simple Operations $140,000 Revenue: $174,526 Income: $52,032 Amazon FBA",https://quietlight.com/listings/16944105/,Amazon FBA
QuietLight,"7 Year Old Amazon FBA Shower Filter Business w/No Seasonality, Fantastic Reviews, & 25% Net Margins","$10,200,000","$9,835,387","$2,427,197","Under Offer 7 Year Old Amazon FBA Shower Filter Business w/No Seasonality, Fantastic Reviews, & 25% Net Margins $10,200,000 Revenue: $9,835,387 Income: $2,427,197 Amazon FBA",https://quietlight.com/listings/16050561/,Amazon FBA
QuietLight,"Fast Growing Health Supplement Amazon FBA Business w/ 15,000+ Subscriptions & 32% Net Margins","$8,000,000","$4,069,217","$1,332,198","Fast Growing Health Supplement Amazon FBA Business w/ 15,000+ Subscriptions & 32% Net Margins $8,000,000 Revenue: $4,069,217 Income: $1,332,198 Amazon FBA",https://quietlight.com/listings/15830388/,Amazon FBA
QuietLight,"SBA PQ | 10-Yr-Old FBA, Category Best Seller | 13% Rev & 27% SDE YOY Growth | 78,000 Reviews","$14,257,120","$14,257,120","$2,978,291","Under Offer SBA PQ | 10-Yr-Old FBA, Category Best Seller | 13% Rev & 27% SDE YOY Growth | 78,000 Reviews $10,425,000 Revenue: $14,257,120 Income: $2,978,291 Amazon FBA",https://quietlight.com/listings/12973521/,Amazon FBA
QuietLight,4-Year-Old Travel Accessories FBA Brand + Wholesale | Low Workload | Proprietary Tooling | $113K SDE,"$601,771","$601,771","$350,000","4-Year-Old Travel Accessories FBA Brand + Wholesale | Low Workload | Proprietary Tooling | $113K SDE $350,000 Revenue: $601,771 Income: $114,752 Amazon FBA",https://quietlight.com/listings/16878540/,Amazon FBA
QuietLight,"Patented FBA Pet Travel Brand | 2,700+ 4.5-Star Reviews | Proven Market Fit | Huge Growth Potential","$201,719","$201,719","$6,757","Patented FBA Pet Travel Brand | 2,700+ 4.5-Star Reviews | Proven Market Fit | Huge Growth Potential $80,000 Revenue: $201,719 Income: $6,757 Amazon FBA",https://quietlight.com/listings/16670865/,Amazon FBA
QuietLight,"Price Reduced: 8-Year-Old Category-Leading Sleepwear and Socks FBA Business | $8M Revenue | 40,000+ Reviews | Seller Financing Available","$8,000,000","$8,000,000","$847,856","Price Reduced: 8-Year-Old Category-Leading Sleepwear and Socks FBA Business | $8M Revenue | 40,000+ Reviews | Seller Financing Available $2,200,000 Revenue: $7,966,554 Income: $847,856 Amazon FBA",https://quietlight.com/listings/16844681/,Amazon FBA
QuietLight,Distressed $28M Global Footwear Platform | Strategic Liquidation | 21 Channels | Recovery Ready,"$28,493,004","$28,493,004","$5,706,691","Distressed $28M Global Footwear Platform | Strategic Liquidation | 21 Channels | Recovery Ready Accepting Offers Revenue: $28,493,004 Income: $-1,500,356 Ecommerce 25 Year Old Outdoor Sporting Goods Ecommerce Business Asking Price Accepting Offers Revenue: $22,523,477 Income: $2,028,466 Ecommerce 10 Year Old E-Commerce Brand w/Dominant Market Position and",https://quietlight.com/listings/17339742/,Amazon FBA
QuietLight,SBA & Conv. PQ – $8M | 17-Yr-Old Multi-Channel Consumer Tech | YoY 24% Rev & 22% SDE Growth | 3.4x,"$11,175,171","$11,175,171","$2,653,336","SBA & Conv. PQ – $8M | 17-Yr-Old Multi-Channel Consumer Tech | YoY 24% Rev & 22% SDE Growth | 3.4x $8,999,000 Revenue: $11,175,171 Income: $2,653,336 Ecommerce",https://quietlight.com/listings/15298647/,Ecommerce
QuietLight,Premium Cannabis Hardware Shopify Brand | $115 AOV | 30% Returning Customer Rate | Ready for Scale,"$1,113,116","$1,113,116","$275,543","Premium Cannabis Hardware Shopify Brand | $115 AOV | 30% Returning Customer Rate | Ready for Scale $690,000 Revenue: $1,113,116 Income: $275,543 Ecommerce",https://quietlight.com/listings/16012265/,Ecommerce
QuietLight,18-Year-Old Established Custom Greeting Card Business | 60% Repeat Customer Rate | $525 AOV,"$353,903","$353,903","$99,293","18-Year-Old Established Custom Greeting Card Business | 60% Repeat Customer Rate | $525 AOV $275,000 Revenue: $353,903 Income: $99,293 Ecommerce",https://quietlight.com/listings/17329259/,Ecommerce
QuietLight,10 Year Old Amazon FBA and Shopify Nootropics Biz w/Solid Reputation & High Margins,"$425,000","$242,047","$142,047","10 Year Old Amazon FBA and Shopify Nootropics Biz w/Solid Reputation & High Margins $425,000 Revenue: $242,047 Income: $142,047 Ecommerce",https://quietlight.com/listings/16576760/,Amazon FBA
QuietLight,Growing Shopify Health and Wellness Coffee Alternative Consumable CPG Brand | $77 AOV | $20K+ MRR,"$2,323,920","$2,323,920","$426,262","Growing Shopify Health and Wellness Coffee Alternative Consumable CPG Brand | $77 AOV | $20K+ MRR $1,350,000 Revenue: $2,323,920 Income: $426,262 Ecommerce",https://quietlight.com/listings/17166725/,Ecommerce
QuietLight,"20-Year-Old Maternity Line | Evergreen Styles | Wholesale, Drop-Ship, and DTC Channels | $184k SDE","$812,145","$812,145","$590,000","Under Offer 20-Year-Old Maternity Line | Evergreen Styles | Wholesale, Drop-Ship, and DTC Channels | $184k SDE $590,000 Revenue: $812,145 Income: $184,609 Ecommerce",https://quietlight.com/listings/15616862/,Ecommerce
QuietLight,"High-Margin, Premium Hemp Products | 40% Repeat Purchase Rate | YOY TTM 285% Rev & 388% SDE Growth","$717,530","$717,530","$200,131","Under Offer High-Margin, Premium Hemp Products | 40% Repeat Purchase Rate | YOY TTM 285% Rev & 388% SDE Growth $499,000 Revenue: $717,530 Income: $200,131 Ecommerce",https://quietlight.com/listings/15140904/,Ecommerce
QuietLight,SBA Eligible: 20-Year-Old USA Manufacturing Biz | Premium Automotive Products | 77% Gross Margins,"$1,214,645","$1,214,645","$308,338","SBA Eligible: 20-Year-Old USA Manufacturing Biz | Premium Automotive Products | 77% Gross Margins $1,000,000 Revenue: $1,214,645 Income: $308,338 Ecommerce",https://quietlight.com/listings/15995434/,Ecommerce
QuietLight,SBA Pre-Qualified Diversified Musical Instrument E-Retailer: Exclusive Relationships & Strong YoY Growth,"$1,029,058","$1,029,058","$270,713","SBA Pre-Qualified Diversified Musical Instrument E-Retailer: Exclusive Relationships & Strong YoY Growth $757,900 Revenue: $1,029,058 Income: $270,713 Ecommerce",https://quietlight.com/listings/16985558/,Ecommerce
QuietLight,Shopify Drop-Shipping | Large Pride Social Following | 200K Active Email Subscribers | $94k SDE,"$1,004,577","$1,004,577","$287,000","Shopify Drop-Shipping | Large Pride Social Following | 200K Active Email Subscribers | $94k SDE $287,000 Revenue: $1,004,577 Income: $94,149 Ecommerce",https://quietlight.com/listings/11515442/,Ecommerce
QuietLight,11-Year-Old Patented Desk Treadmill Brand | SBA Eligible | Big Growth Opportunities,"$950,000","$898,759","$295,430","Under Offer 11-Year-Old Patented Desk Treadmill Brand | SBA Eligible | Big Growth Opportunities $950,000 Revenue: $898,759 Income: $295,430 Ecommerce",https://quietlight.com/listings/16363673/,Ecommerce
QuietLight,Established Orthotic Insole Brand | 78% YoY Growth | 75% Gross Margin | Rising AOV | Strong Brand,"$6,200,291","$6,200,291","$1,162,485","Established Orthotic Insole Brand | 78% YoY Growth | 75% Gross Margin | Rising AOV | Strong Brand $4,000,000 Revenue: $6,200,291 Income: $1,162,485 Ecommerce",https://quietlight.com/listings/17007115/,Ecommerce
QuietLight,6-Year-Old Drop-Ship Business Selling Japanese Goods | Strong Growth in 2025 | 32% Net Margins,"$499,999","$402,855","$132,309","6-Year-Old Drop-Ship Business Selling Japanese Goods | Strong Growth in 2025 | 32% Net Margins $499,999 Revenue: $402,855 Income: $132,309 Ecommerce",https://quietlight.com/listings/17555420/,Ecommerce
QuietLight,Shopify/Amazon Sea Moss Brand | $270K+ MRR | 90%+ Gross Margin | US Made | 30%+ Growth,"$14,323,803","$14,323,803","$1,463,306","Under Offer Shopify/Amazon Sea Moss Brand | $270K+ MRR | 90%+ Gross Margin | US Made | 30%+ Growth $5,850,000 Revenue: $14,323,803 Income: $1,463,306 Ecommerce",https://quietlight.com/listings/12197700/,Amazon FBA
QuietLight,Premium Wristwatch Ecomm Business | 67% Net Profit Margins | Low Workload | High-Profile Collabs,"$280,000","$174,850","$118,266","Premium Wristwatch Ecomm Business | 67% Net Profit Margins | Low Workload | High-Profile Collabs $280,000 Revenue: $174,850 Income: $118,266 Ecommerce",https://quietlight.com/listings/16316699/,Ecommerce
QuietLight,Thriving Women’s Health Supplement Business | $5.7M SDE | 300%+ Growth | Owners Capping Growth,"$25,000,000","$10,873,231","$5,706,691","Under Offer Thriving Women’s Health Supplement Business | $5.7M SDE | 300%+ Growth | Owners Capping Growth $25,000,000 Revenue: $10,873,231 Income: $5,706,691 Ecommerce",https://quietlight.com/listings/15960930/,Ecommerce
QuietLight,Premium Snack Subscription Box Biz | US Supply Chain | 36% Repeat Customer Rate | 58% SDE Growth,"$615,000","$519,702","$186,558","Premium Snack Subscription Box Biz | US Supply Chain | 36% Repeat Customer Rate | 58% SDE Growth $615,000 Revenue: $519,702 Income: $186,558 Ecommerce",https://quietlight.com/listings/17224025/,Ecommerce
QuietLight,5-Year-Old Established Supplements Brand | 60% Returning Customers | 4-5 Hours Weekly Management,"$4,736,490","$4,736,490","$905,162","Under Offer 5-Year-Old Established Supplements Brand | 60% Returning Customers | 4-5 Hours Weekly Management $3,500,000 Revenue: $4,736,490 Income: $905,162 Ecommerce",https://quietlight.com/listings/16647116/,Ecommerce
QuietLight,Premium Pet Accessories Wholesale Brand | Celebrity Worn | 50% Net Margins | Amazon Untapped,"$205,000","$160,956","$81,523","Premium Pet Accessories Wholesale Brand | Celebrity Worn | 50% Net Margins | Amazon Untapped $205,000 Revenue: $160,956 Income: $81,523 Ecommerce",https://quietlight.com/listings/17140416/,Amazon FBA
QuietLight,2-Year-Old Drop-Shipping Fashion Brand | Evergreen Catalog | $8 Million in Revenue | Very Low Multiple,"$8,188,826","$8,188,826","$702,801","2-Year-Old Drop-Shipping Fashion Brand | Evergreen Catalog | $8 Million in Revenue | Very Low Multiple $1,500,000 Revenue: $8,188,826 Income: $702,801 Ecommerce",https://quietlight.com/listings/15664017/,Ecommerce
QuietLight,SBA Pre-Qualified: 30+ Year Porsche Performance Parts Manufacturing | Made in USA | $328K SDE,"$1,150,000","$655,399","$1,150,000","Under Offer SBA Pre-Qualified: 30+ Year Porsche Performance Parts Manufacturing | Made in USA | $328K SDE $1,150,000 Revenue: $655,399 Income: $328,062 Ecommerce",https://quietlight.com/listings/14097773/,Ecommerce
QuietLight,5-Year-Old Video Editing Digital Products Business | 35% TTM SDE Growth,"$723,017","$723,017","$212,343","5-Year-Old Video Editing Digital Products Business | 35% TTM SDE Growth $550,000 Revenue: $723,017 Income: $212,343 Ecommerce",https://quietlight.com/listings/17148431/,Ecommerce
QuietLight,"12-Year-Old Mobile Safety App | 6,500 Paid Subscribers | Patented Tech | SBA Eligible","$695,000","$215,355","$149,066","12-Year-Old Mobile Safety App | 6,500 Paid Subscribers | Patented Tech | SBA Eligible $695,000 Revenue: $215,355 Income: $149,066 Saas Business",https://quietlight.com/listings/14264148/,SaaS
QuietLight,SBA Pre-Qual 10 Yr Old Real Estate Content Platform | 675K Social Following | Recurring Rev Model,"$1,291,152","$1,291,152","$456,250","Under Offer SBA Pre-Qual 10 Yr Old Real Estate Content Platform | 675K Social Following | Recurring Rev Model $1,100,000 Revenue: $1,291,152 Income: $456,250 Saas Business",https://quietlight.com/listings/14524263/,SaaS
QuietLight,"SBA Max $5M Pre-Approval | Exploding SaaS Trading Platform | $5.4M REV, $2.7M+ SDE – UP 212%","$8,000,000","$5,506,312","$2,644,634","SBA Max $5M Pre-Approval | Exploding SaaS Trading Platform | $5.4M REV, $2.7M+ SDE – UP 212% $8,000,000 Revenue: $5,506,312 Income: $2,644,634 Saas Business",https://quietlight.com/listings/14753270/,SaaS
QuietLight,SBA Pre-Qualified: 12-Year-Old SaaS Payment Platform | $186K MRR | Owner Works Minimal Hours,"$7,000,000","$2,398,103","$2,069,031","SBA Pre-Qualified: 12-Year-Old SaaS Payment Platform | $186K MRR | Owner Works Minimal Hours $7,000,000 Revenue: $2,398,103 Income: $2,069,031 Saas Business",https://quietlight.com/listings/16590131/,SaaS
QuietLight,Interactive Church Livestream SaaS Platform | $1K+ Customer LTV | Sales/Marketing Experience Needed,"$50,000","$33,743",,"Interactive Church Livestream SaaS Platform | $1K+ Customer LTV | Sales/Marketing Experience Needed $50,000 Revenue: $33,743 Income: $-3,705 Saas Business",https://quietlight.com/listings/17585011/,SaaS
QuietLight,7-Year-Old HOA SaaS Platform | $700K ARR | 115% NRR | +78% YoY | Integrated Payments | Clear Growth,"$4,200,000","$515,011","$344,050","7-Year-Old HOA SaaS Platform | $700K ARR | 115% NRR | +78% YoY | Integrated Payments | Clear Growth $4,200,000 Revenue: $515,011 Income: $344,050 Saas Business",https://quietlight.com/listings/14999261/,SaaS
QuietLight,10-Year-Old UX Research SaaS | $263K ARR | $156K ARR In Pipeline | $724 ARPU | $11K LTV,"$650,000","$253,366","$189,267","10-Year-Old UX Research SaaS | $263K ARR | $156K ARR In Pipeline | $724 ARPU | $11K LTV $650,000 Revenue: $253,366 Income: $189,267 Saas Business",https://quietlight.com/listings/15366300/,SaaS
QuietLight,14 Year Old Dental SaaS Business | <1% Monthly Churn | $2000+ LTV | 13% YoY Growth,"$350,000","$123,250","$89,619","Under Offer 14 Year Old Dental SaaS Business | <1% Monthly Churn | $2000+ LTV | 13% YoY Growth $350,000 Revenue: $123,250 Income: $89,619 Saas Business",https://quietlight.com/listings/16060068/,SaaS
QuietLight,4-Year-Old Shopify App Portfolio | 4.6% YoY SDE Growth,"$1,430,000","$587,982","$408,640","Under Offer 4-Year-Old Shopify App Portfolio | 4.6% YoY SDE Growth $1,430,000 Revenue: $587,982 Income: $408,640 Saas Business",https://quietlight.com/listings/16814226/,SaaS
Investors,LISTINGS,,,,BUY SELL PREMIUM LISTINGS,https://investors.club/listings/,General Business
Investors,Managed by Broker,,,,Managed by Broker,https://investors.club/business/brokered/,General Business
Investors,Cash Flow,,,,"Cash Flow, Established, Internet, Profitable",https://investors.club/business/cash-flow/,General Business
Investors,Established,,,,"Cash Flow, Established, Internet, Profitable",https://investors.club/business/established/,General Business
Investors,Internet,,,,"Cash Flow, Established, Internet, Profitable",https://investors.club/business/internet/,General Business
Investors,Profitable,,,,"Cash Flow, Established, Internet, Profitable",https://investors.club/business/profitable/,General Business
Investors,For Sale by Owner,,,,For Sale by Owner,https://investors.club/business/for-sale-by-owner/,General Business
Investors,Home Based,,,,"Established, Home Based, Internet, Profitable",https://investors.club/business/home-based/,General Business
Investors,Passive Income Businesses for Sale,,,,Websites for Sale Startups for Sale Blogs for Sale Businesses for Sale by Owner WordPress Websites for Sale Amazon Businesses for Sale Ecommerce Businesses for Sale Shopify Stores for Sale Amazon FBA Businesses for Sale Amazon KDP Businesses for Sale Apps for Sale SaaS Businesses for Sale Affiliate Websites for Sale AdSense Websites for Sale Newsletters for Sale Service Businesses for Sale Socia,https://investors.club/business/passive-income/,Amazon FBA
WebsiteProperties,Patented Innovative Camouflage Products Ecommerce Business,,,,Current! Patented Innovative Camouflage Products Ecommerce Business Amazon in Retail Outdoor Equipment Home Based Business Opportunity,https://websiteproperties.com/websites/13769-patented-innovative-camouflage-products-ecommerce-business/,Amazon FBA
WebsiteProperties,Thriving Amazon FBA Wellness & Performance Brand | 39% YoY Sales Growth | 56% NP Margin,,,,Current! Thriving Amazon FBA Wellness & Performance Brand | 39% YoY Sales Growth | 56% NP Margin Amazon in Medical Devices Seller Financing Available Home Based Business Opportunity,https://websiteproperties.com/websites/13776-thriving-amazon-fba-wellness-performance-brand-39-yoy-sales-growth-56-np-margin/,Amazon FBA
WebsiteProperties,Amazon FBA Sports Accessories Business with High AOV,,,,Current! Amazon FBA Sports Accessories Business with High AOV Amazon in Sporting Goods Seller Financing Available Home Based Business Opportunity,https://websiteproperties.com/websites/13779-amazon-fba-sports-accessories-business-with-high-aov/,Amazon FBA
WebsiteProperties,"FBA Popular Socks and Shoe Brands, Candy Sales, and Fulfillment Operations",,,,"Current! FBA Popular Socks and Shoe Brands, Candy Sales, and Fulfillment Operations Amazon in Consumer Goods Seller Financing Available",https://websiteproperties.com/websites/13767-fba-popular-socks-and-shoe-brands-candy-sales-and-fulfillment-operations/,Amazon FBA
WebsiteProperties,Sticking With Success - Great Business Opportunity in the Growing Diabetes Market,,,,Current! Sticking With Success - Great Business Opportunity in the Growing Diabetes Market Amazon in Consumer Goods Home Based Business Opportunity,https://websiteproperties.com/websites/13755-sticking-with-success-great-business-opportunity-in-the-growing-diabetes-market/,Amazon FBA
WebsiteProperties,Patented Amazon Brand Neck Pain Relief Product / FDA Approved,,,,"Current! Patented Amazon Brand Neck Pain Relief Product / FDA Approved Amazon in Health, Wellness and Fitness Seller Financing Available Home Based Business Opportunity",https://websiteproperties.com/websites/13763-patented-amazon-brand-neck-pain-relief-product-fda-approved/,Amazon FBA
