source,name,price,revenue,profit,description,url,is_amazon_fba
QuietLight,Fast Growing Amazon FBM | Used Cameras & Electronics | 300% YoY Growth | Low Overhead,,"$3,568,938",,"Under Offer Fast Growing Amazon FBM | Used Cameras & Electronics | 300% YoY Growth | Low Overhead $650,000 Revenue: $3,568,938 Income: $420,981 Amazon FBA",https://quietlight.com/listings/15594313/,True
QuietLight,7 Year Old Ladies Bag Amazon FBA UK Business w/USA Expansion Opportunity & Zero Advertising,,"$1,578,995",,"7 Year Old Ladies Bag Amazon FBA UK Business w/USA Expansion Opportunity & Zero Advertising $645,000 Revenue: $1,578,995 Income: $214,955 Amazon FBA",https://quietlight.com/listings/16702772/,True
QuietLight,8 Year Old – Women’s Swim and Apparel Brand | FBA + Shopify | $171k SDE,,"$1,372,142","$530,000","Under Offer 8 Year Old – Women’s Swim and Apparel Brand | FBA + Shopify | $171k SDE $530,000 Revenue: $1,372,142 Income: $171,144 Amazon FBA",https://quietlight.com/listings/9010087/,True
QuietLight,11 Year Old Niche Hardware Amazon FBA Business w/Low SKU Count | 40% Net Margins | Amazing Reviews,,"$255,156",,"11 Year Old Niche Hardware Amazon FBA Business w/Low SKU Count | 40% Net Margins | Amazing Reviews $405,000 Revenue: $255,156 Income: $103,723 Amazon FBA",https://quietlight.com/listings/17337235/,True
QuietLight,4-Year-Old Travel Accessories FBA Brand + Wholesale | Low Workload | Proprietary Tooling | $113K SDE,,"$601,771","$350,000","4-Year-Old Travel Accessories FBA Brand + Wholesale | Low Workload | Proprietary Tooling | $113K SDE $350,000 Revenue: $601,771 Income: $114,752 Amazon FBA",https://quietlight.com/listings/16878540/,True
QuietLight,Simple Amazon FBA Accounting Ledger Books Business w/23% Margins | 3.92x ROAS | Low Workload,,"$250,192",,"Simple Amazon FBA Accounting Ledger Books Business w/23% Margins | 3.92x ROAS | Low Workload $200,000 Revenue: $250,192 Income: $57,088 Amazon FBA",https://quietlight.com/listings/16921449/,True
QuietLight,Stable Amazon FBA Business in Seniors Niche | 85% Gross Profit Margin | Simple Operations,,"$174,526",,"Stable Amazon FBA Business in Seniors Niche | 85% Gross Profit Margin | Simple Operations $140,000 Revenue: $174,526 Income: $52,032 Amazon FBA",https://quietlight.com/listings/16944105/,True
QuietLight,EU-Based Amazon FBA Gardening Business | 1.9x Multiple | Low Workload | VAT Management in Place,,"$260,708",,"EU-Based Amazon FBA Gardening Business | 1.9x Multiple | Low Workload | VAT Management in Place $94,500 Revenue: $260,708 Income: $49,766 Amazon FBA",https://quietlight.com/listings/16051221/,True
QuietLight,"Patented FBA Pet Travel Brand | 2,700+ 4.5-Star Reviews | Proven Market Fit | Huge Growth Potential",,"$201,719",,"Patented FBA Pet Travel Brand | 2,700+ 4.5-Star Reviews | Proven Market Fit | Huge Growth Potential $80,000 Revenue: $201,719 Income: $6,757 Amazon FBA",https://quietlight.com/listings/16670865/,True
BizBuySell,"Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores",,"$886,000","$50,000","Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalable and easily expandable to over 1.5MM in sales if you have the...$250,000 Cash Flow: $50,0004$250,000Cash Flow: $50,000ContactProfitable Amazon FBA Beauty Brand with Amazon’s Choice",https://www.bizbuysell.com/business-opportunity/auto-part-company-w-full-websites-ebay-amazon-walmart-com-stores/2063617/,True
Investors,Managed by Broker,"$5,440,000","$1,900,000","$435,908","Default Order Newest Listings Oldest Listings Alphabetically Featured Managed by Broker Vegan Notebook eCommerce Business Amazon, Ecommerce Asking Price $5,440,000 Cash Flow, Established, Internet, Profitable",https://investors.club/business/brokered/,True
Investors,Amazon FBA Incense Brand,,,,"Amazon FBA Incense Brand Amazon, Ecommerce",https://investors.club/listing/60671-amazon-fba-incense-brand/,True
Investors,Established,,,"$8,120","Established, Home Based, Internet, Profitable This U.S.-focused Amazon FBA business sells private-label incense products and operates with approximately 35% net profit margins. Launched in 2021, it requires around 14 hours per week to manage inventory, reorders, and basic PPC, and is fully brand registered on Amazon. The business is owner-operated with no employees, l",https://investors.club/business/established/,True
Investors,Home Improvement Amazon FBA Business,,,,Home Improvement Amazon FBA Business Amazon,https://investors.club/listing/60452-home-improvement-amazon-fba-business/,True
WebsiteProperties,Patented Innovative Camouflage Products Ecommerce Business,"$200,000",,"$59,313","Current! Patented Innovative Camouflage Products Ecommerce Business Amazon in Retail Outdoor Equipment Home Based Business Opportunity Business Overview This business is THE one-stop shop for all things camouflage. From cutting-edge patterns to durable, high-performance gear, they have everything needed to stay hidden and comfortable in the wild. Family owned and operated, the brand is s",https://websiteproperties.com/websites/13769-patented-innovative-camouflage-products-ecommerce-business/,True
WebsiteProperties,Thriving Amazon FBA Wellness & Performance Brand | 39% YoY Sales Growth | 56% NP Margin,"$980,000",,"$290,115",Current! Thriving Amazon FBA Wellness & Performance Brand | 39% YoY Sales Growth | 56% NP Margin Amazon in Medical Devices Seller Financing Available Home Based Business Opportunity Business Overview This 10-year-old wellness brand was created out of a deep passion for personal development and helping people feel and perform at their best. The founder envisioned a product that would combine,https://websiteproperties.com/websites/13776-thriving-amazon-fba-wellness-performance-brand-39-yoy-sales-growth-56-np-margin/,True
WebsiteProperties,Amazon FBA Sports Accessories Business with High AOV,"$695,000",,"$197,700",Current! Amazon FBA Sports Accessories Business with High AOV Amazon in Sporting Goods Seller Financing Available Home Based Business Opportunity Business Overview This 8 year old business is a cutting-edge sports accessory business specializing in innovative wristbands designed to enhance on-field performance for athletes and coaches. Sales are 100% Amazon FBA across 60 SKUs earning the bu,https://websiteproperties.com/websites/13779-amazon-fba-sports-accessories-business-with-high-aov/,True
WebsiteProperties,"FBA Popular Socks and Shoe Brands, Candy Sales, and Fulfillment Operations","$4,725,000",,"$1,174,532","Current! FBA Popular Socks and Shoe Brands, Candy Sales, and Fulfillment Operations Amazon in Consumer Goods Seller Financing Available With its impressive growth trajectory and steadily increasing cash flow, this opportunity is a niche e-commerce company specializing in high-quality brand name socks, shoes, and apparel, offering both brand name third-party and exclusive brand name items. I",https://websiteproperties.com/websites/13767-fba-popular-socks-and-shoe-brands-candy-sales-and-fulfillment-operations/,True
WebsiteProperties,Sticking With Success - Great Business Opportunity in the Growing Diabetes Market,"$4,400,000",,"$1,461,722","Current! Sticking With Success - Great Business Opportunity in the Growing Diabetes Market Amazon in Consumer Goods Home Based Business Opportunity This opportunity’s trademarked products have the exclusive feature of holding diabetic sensors in place without sticking to the sensor itself. The patches are sold through their website, Amazon FBA, and have achieved distribution in brick-and-m",https://websiteproperties.com/websites/13755-sticking-with-success-great-business-opportunity-in-the-growing-diabetes-market/,True
WebsiteProperties,Patented Amazon Brand Neck Pain Relief Product / FDA Approved,"$895,000",,"$212,711","Current! Patented Amazon Brand Neck Pain Relief Product / FDA Approved Amazon in Health, Wellness and Fitness Seller Financing Available Home Based Business Opportunity The Opportunity This is a rare opportunity to acquire a well-established and widely recognized brand that primarily operates through Amazon FBA, anchored by strong intellectual property—including a patented, FDA-approved pro",https://websiteproperties.com/websites/13763-patented-amazon-brand-neck-pain-relief-product-fda-approved/,True
WebsiteProperties,Royalty Rights for Trademarked and Patented Brand Neck Pain Relief Product,"$1,150,000",,"$337,355","Recently Sold! Royalty Rights for Trademarked and Patented Brand Neck Pain Relief Product Amazon in Health, Wellness and Fitness Seller Financing Available Home Based Business Opportunity Opportunity This is an opportunity to acquire ownership of this leading brand and its other related assets along with the Royalty Rights to the branded products sales. Under the current arrangement, this i",https://websiteproperties.com,True
